Entity,Code,Year,Average performance of 15-year-old students on the science scale,Upper bound of performance of 15-year-old  on the science scale,Lower bound of performance of 15-year-old  on the science scale
Albania,ALB,2009,390.69574,398.41595,382.97552
Albania,ALB,2012,397.3732,402.16248,392.58392
Albania,ALB,2015,427.22498,433.64944,420.8005
Albania,ALB,2018,416.72626,420.61765,412.83487
Albania,ALB,2022,375.96774,380.3115,371.624
Algeria,DZA,2015,375.74512,380.9242,370.56604
Argentina,ARG,2006,391.2439,403.16077,379.32703
Argentina,ARG,2009,400.83853,409.8088,391.86826
Argentina,ARG,2012,405.63202,413.23862,398.02542
Argentina,ARG,2015,432.22626,437.8423,426.61023
Argentina,ARG,2018,404.07144,409.69766,398.44522
Argentina,ARG,2022,406.19135,411.0774,401.3053
Australia,AUS,2006,526.8796,531.30975,522.4494
Australia,AUS,2009,527.2705,532.2315,522.3095
Australia,AUS,2012,521.49475,524.9397,518.0498
Australia,AUS,2015,509.99387,513.00305,506.98465
Australia,AUS,2018,502.96457,506.48355,499.4456
Australia,AUS,2022,507.00085,510.78967,503.21204
Austria,AUT,2006,510.83716,518.53,503.1443
Austria,AUT,2009,494.32767,500.68228,487.97305
Austria,AUT,2012,505.78125,511.07385,500.48865
Austria,AUT,2015,495.03748,499.8186,490.25635
Austria,AUT,2018,489.78043,495.22412,484.33673
Austria,AUT,2022,491.27097,496.46524,486.0767
Belarus,BLR,2018,471.26367,476.05823,466.46912
Belgium,BEL,2006,510.3635,515.2335,505.4935
Belgium,BEL,2009,506.57553,511.51904,501.63202
Belgium,BEL,2012,504.86765,509.14102,500.59427
Belgium,BEL,2015,501.99973,506.4873,497.51215
Belgium,BEL,2018,498.77313,503.14246,494.4038
Belgium,BEL,2022,490.57834,495.4428,485.71387
Bosnia and Herzegovina,BIH,2018,398.49765,403.86267,393.13263
Brazil,BRA,2006,390.33157,395.7928,384.87036
Brazil,BRA,2009,405.404,410.1727,400.63528
Brazil,BRA,2012,401.6197,405.659,397.58038
Brazil,BRA,2015,400.6821,405.1839,396.1803
Brazil,BRA,2018,403.62094,407.65414,399.58774
Brazil,BRA,2022,403.00122,406.78946,399.21298
Brunei,BRN,2018,430.98438,433.35614,428.6126
Brunei,BRN,2022,445.8551,448.4361,443.2741
Bulgaria,BGR,2006,434.07977,446.0588,422.10074
Bulgaria,BGR,2009,439.29416,450.784,427.80432
Bulgaria,BGR,2012,446.46872,455.84442,437.09302
Bulgaria,BGR,2015,445.77197,454.2984,437.24554
Bulgaria,BGR,2018,424.07358,431.19125,416.9559
Bulgaria,BGR,2022,420.99323,427.21475,414.7717
Cambodia,KHM,2022,347.10416,351.2185,342.9898
